0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_download.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_service_btm.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_vline.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_location.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/header/img_loginright_middlebg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/header/img_loginright_rightbg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/header/img_loginright_leftbg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/img_schedule.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/footer/img_mois.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/footer/img_nia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:19 +0900] "GET /sht_webapp/images/index/bg_bottom.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "POST /sht_webapp/cop/bbs/selectBoardList.do?bbsId=BBSMSTR_BBBBBBBBBBBB HTTP/1.1" 200 12119
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "GET /sht_webapp/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "GET /sht_webapp/js/EgovBBSMng.js HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "GET /sht_webapp/images/header/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "GET /sht_webapp/images/question.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "GET /sht_webapp/images/img_search.gif HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "GET /sht_webapp/images/footer/img_mois.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "GET /sht_webapp/images/footer/img_nia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2020:09:35:54 +0900] "GET /sht_webapp/images/header/img_loginright_leftbg.gif HTTP/1.1" 304 -
